SETTLEMENTDATE,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10
10/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
11/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
12/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
13/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
14/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
15/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
16/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
17/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
18/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
19/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
20/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
21/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
22/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
23/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
24/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
25/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
26/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
27/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
28/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
29/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
30/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
31/12/2018 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
1/01/2019 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
2/01/2019 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
3/01/2019 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
4/01/2019 0:00,-985.3,-500,-50,25,50,90,120,150,300,899
